frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
68,3.0,[1311.6015625 1017.3740844726562 2227.400146484375 1744.5391845703125],[1606.6842041015625 1536.5467529296875 1901.9674072265625 1638.9971923828125],0.7490599751472473,MI589FN,0.9735724069014878
68,1.0,[74.53876495361328 993.9764404296875 1325.2347412109375 1708.870849609375],[310.0062561035156 1390.834716796875 589.9320068359375 1491.346435546875],0.7275782823562622,MI399CI,0.7491330385604741
70,1.0,[74.7081069946289 994.6658325195312 1325.3453369140625 1709.9886474609375],[312.5125427246094 1391.460693359375 590.3626098632812 1490.256591796875],0.7302297949790955,MI399CT,0.700660469289755
71,1.0,[74.46231079101562 995.8473510742188 1325.5675048828125 1710.572265625],[312.9703369140625 1392.336669921875 590.128173828125 1489.970458984375],0.7307938933372498,MI399CT,0.7872312904515376
71,2.0,[2366.02978515625 1029.8994140625 3564.14111328125 1732.5841064453125],[3024.56884765625 1531.0850830078125 3319.184326171875 1626.8565673828125],0.7035951614379883,MI899FM,0.9882466309373934
72,3.0,[1310.0853271484375 1016.9174194335938 2227.97802734375 1750.8675537109375],[1608.762451171875 1536.5797119140625 1903.7255859375 1639.0374755859375],0.7545077204704285,MI589FN,0.9714409506830417
72,1.0,[74.80931854248047 997.0360107421875 1325.5003662109375 1708.9727783203125],[313.7084655761719 1391.597412109375 591.0146484375 1489.99951171875],0.7311416268348694,MI399CT,0.9768328718010377
73,1.0,[75.61872100830078 997.217041015625 1326.3406982421875 1708.5528564453125],[313.22509765625 1391.8297119140625 591.5029296875 1490.139404296875],0.7288938164710999,MIF399CT,0.6766582741821972
73,2.0,[2366.969970703125 1030.3984375 3564.732177734375 1732.4078369140625],[3022.997314453125 1530.8917236328125 3319.3916015625 1627.181396484375],0.689988374710083,MI899FM,0.9628688083719423
74,1.0,[76.37887573242188 997.3362426757812 1326.6402587890625 1707.8646240234375],[312.29443359375 1392.922607421875 592.0157470703125 1489.970458984375],0.7277922034263611,MI399CI,0.7884006247947063
74,2.0,[2366.9833984375 1031.2451171875 3564.95947265625 1731.7891845703125],[3023.372314453125 1530.4658203125 3319.69189453125 1627.408447265625],0.6959235668182373,MI899FM,0.995124247992279
75,1.0,[76.60757446289062 997.5255126953125 1326.7425537109375 1707.625],[313.2245178222656 1392.795166015625 591.634765625 1490.420166015625],0.7277724146842957,MI399CT,0.6844431172710824
75,2.0,[2366.728515625 1031.6083984375 3564.876953125 1732.507080078125],[3023.495361328125 1530.558837890625 3320.187744140625 1627.486083984375],0.6893848776817322,MI899FM,0.6844303861118459
76,1.0,[76.89579010009766 997.8414916992188 1327.3179931640625 1706.750732421875],[313.5268859863281 1392.658447265625 592.2522583007812 1491.00830078125],0.7303953766822815,MI399CT,0.7083360912971833
76,2.0,[2366.761962890625 1031.8436279296875 3565.002197265625 1732.28173828125],[3024.166748046875 1530.665771484375 3318.439453125 1626.731689453125],0.6843157410621643,MI899FM,0.9974123382834481
